row_num,encoder_value,distance_value
0,2,489
1,5,490
2,8,519
3,11,468
4,16,487
5,19,429
6,21,453
7,26,476
8,29,494
9,32,498
10,36,516
11,39,558
12,42,518
13,45,456
14,48,453
15,51,461
16,2,745
17,8,843
18,11,738
19,14,660
20,19,663
21,23,828
22,28,750
23,32,692
24,35,672
25,40,615
26,43,607
27,46,617
28,49,609
29,52,541
30,2,700
31,5,653
32,8,730
33,11,743
34,14,748
35,17,700
36,20,697
37,23,796
38,28,762
39,31,741
40,34,803
41,37,771
42,40,744
43,43,852
44,46,854
45,49,821
46,52,835
47,2,602
48,5,599
49,8,582
50,11,594
51,14,576
52,17,569
53,20,601
54,26,59
55,2,496
56,5,535
57,8,499
58,11,505
59,14,497
60,17,485
61,20,474
62,25,475
63,28,3000
64,31,566
65,34,485
66,37,489
67,40,486
68,43,521
69,49,536
70,52,484
71,2,577
72,5,535
73,8,505
74,11,483
75,14,450
76,17,426
77,20,420
78,23,390
79,26,398
80,29,446
81,32,424
82,35,432
83,38,426
84,41,435
85,44,453
